IPC      ;Data Factory ;time       ;AvgValue    ;MinValue    ;MaxValue    ;MetricId    ;CpuMHz
ITLT4301 ;           1 ;01/05/2021 ;98,94437496 ;29,34354523 ;673,0675687 ;CpuUsageMHz ;5600
ITLT4301 ;           1 ;02/05/2021 ;114,6709829 ;30,26053102 ;840,875968  ;CpuUsageMHz ;5600
ITLT4301 ;           1 ;03/05/2021 ;121,0612276 ;32,09450259 ;906,8989447 ;CpuUsageMHz ;5600
ITLT4301 ;           1 ;04/05/2021 ;119,882602  ;33,92847417 ;690,4902987 ;CpuUsageMHz ;5600
ITLT4301 ;           1 ;05/05/2021 ;125,2555738 ;35,76244575 ;728,086716  ;CpuUsageMHz ;5600
ITLT4301 ;           1 ;06/05/2021 ;139,3595516 ;35,76244575 ;533,6857288 ;CpuUsageMHz ;5600
ITLT4301 ;           1 ;07/05/2021 ;142,2478202 ;38,51340311 ;572,199132  ;CpuUsageMHz ;5600
ITLT4301 ;           1 ;08/05/2021 ;137,9597077 ;29,34354523 ;596,0407625 ;CpuUsageMHz ;5600
ITLT4301 ;           1 ;09/05/2021 ;179,2563442 ;27,50957365 ;1188,413582 ;CpuUsageMHz ;5600
ITLT4301 ;           1 ;10/05/2021 ;223,9642266 ;28,42655944 ;1409,407157 ;CpuUsageMHz ;5600
ITLT4301 ;           1 ;11/05/2021 ;224,0609567 ;28,42655944 ;1549,705982 ;CpuUsageMHz ;5600
ITLT4301 ;           1 ;12/05/2021 ;211,7336269 ;28,42655944 ;1498,354778 ;CpuUsageMHz ;5600
ITLT4301 ;           1 ;13/05/2021 ;220,9645157 ;28,42655944 ;1615,728959 ;CpuUsageMHz ;5600
ITLT4301 ;           1 ;14/05/2021 ;228,3712887 ;26,59258786 ;1465,34329  ;CpuUsageMHz ;5600